     100 files     200 files     300 files     376 text files.
classified 376 filesDuplicate file check 376 files (367 known unique)Unique:      100 files                                          Unique:      200 files                                          Unique:      300 files                                               376 unique files.                              
Counting:  100Counting:  200Counting:  300      55 files ignored.

http://cloc.sourceforge.net v 1.60  T=1.79 s (195.4 files/s, 22193.2 lines/s)
-----------------------------------------------------------------------------------------------------
File                                                              blank        comment           code
-----------------------------------------------------------------------------------------------------
Core/Components/DebugMoveController.h                                10             12             30
Core/Resources/Bank.h                                                12             12             30
Core/Components/Orientation.h                                         8             21             30
Core/Systems/Reflection/Reflection.h                                 16             16             30
Core/Engine/Actions.cpp                                              14             50             30
Core/Systems/Editor/EditorArchetypes.h                               12              9             30
Core/Objects/Entities/Mouse.h                                        14             12             30
Core/Components/LinearParticleAnimator.cpp                            5             26             29
Core/Engine/ActionDelay.cpp                                           9             31             29
Core/Systems/Reflection/VariantBase.h                                12              0             29
Core/Components/EditorCameraController.h                              3             13             29
Core/Components/CircleCollider.h                                      9             16             29
Core/Events/CollisionEvents.h                                        11             15             29
Core/Systems/Editor/EditorInspector.h                                10             12             29
Core/Systems/Reflection/RefVariant.cpp                                9              0             28
Core/Components/TimeSpace.cpp                                        12             40             28
Core/Systems/Editor/MenuLaunch.cpp                                    6             26             28
Core/Components/LinearParticleAnimator.h                              6             11             28
Core/Components/DebugAudio.h                                          8             12             28
Core/Resources/Font.h                                                12             23             28
Core/Events/UpdateEvents.h                                            7              9             27
Core/Components/ParticleColorAnimator.h                               6             11             27
Core/Systems/Editor/Selector.h                                       11             12             27
Core/Systems/Reflection/RefVariant.h                                  8              0             27
Core/Resources/Mesh.cpp                                               8             17             27
Core/Systems/Editor/EditorTextEditor.h                                8              9             27
Core/Components/DebugCollider.cpp                                     8             22             26
Core/Systems/Serialization/Serialization.h                           16             22             26
Core/Systems/DispatchSystemEvents.h                                  17             11             26
Core/Systems/Editor/EditorTool.cpp                                    8             25             26
Core/Objects/Resource.h                                              11             18             26
Core/Systems/Editor/EditorModule.h                                    6              9             25
Core/Components/SoundEmitter.h                                       10             12             25
Core/Engine/Macros.h                                                 14             25             25
Core/Systems/System.h                                                11             14             25
Core/Components/TimeSpace.h                                          10             13             24
Core/Systems/Filesystem/Old/FileSystem.h                              6             18             24
Core/Components/DebugFade.cpp                                         6             14             24
Core/Systems/Reflection/Variant.cpp                                   8              3             24
Core/Systems/Editor/WindowConsole.cpp                                16             10             24
Core/Resources/Mesh.h                                                15             15             24
Core/Events/MouseEvents.h                                            11             10             23
Core/Components/DebugCamera.h                                         7             13             23
Core/Components/Graphical.cpp                                         8             38             23
Core/Systems/Reflection/VariantBase.cpp                               9              0             22
Core/Components/IgnoreSpaceEffects.h                                  3             13             22
Core/Engine/Delegate.h                                                8             15             22
Core/Resources/PhysicsMaterial.h                                     12             22             22
Core/Components/Graphical.h                                           9             12             22
Core/Resources/CollisionGroup.cpp                                     6             25             22
Core/Engine/Math.h                                                    8             11             22
Core/Engine/Event.h                                                  10             14             21
Core/Systems/Editor/EditorProjects.h                                 11             10             21
Core/Systems/Editor/EditorCreator.h                                   6              9             21
Core/Components/DebugCollider.h                                       8             16             21
Core/Resources/Texture2D.h                                           10             21             20
Core/Resources/Archetype.h                                            9             15             20
Core/Events/EditorEvents.h                                           11             13             20
Core/Resources/Texture.h                                             12             14             20
Core/Debug/DebugGraphics.cpp                                          5             10             20
Core/Systems/Input/InputGLFW.cpp                                     11             22             19
Core/Resources/PhysicsMaterial.cpp                                    4             15             19
Core/Resources/Level.h                                                9             12             19
Core/Binding/CoreBinding.h                                           14             24             19
Core/Systems/Factory/ComponentFactory.h                               6             22             19
Core/Systems/Editor/EditorDiagnostics.h                               5              9             18
Core/Systems/Audio/FMODPtrs.h                                         8             11             18
Core/Components/DebugFade.h                                           6             14             18
